Wydział,Prowadzący,Nazwa przedmiotu,Typ zajęć,Kierunek,Studia
Wydział Humanistyczno-Społeczny,prof. UBB dr hab. Carlos Dimeo Álvarez,Literatura hispanoamerykańska,wyk,Fil hisz,S
Wydział Humanistyczno-Społeczny,prof. UBB dr hab. Carlos Dimeo Álvarez,Seminarium dyplomowe,sem,Fil hisz,S
Wydział Humanistyczno-Społeczny,prof. UBB dr hab. Carlos Dimeo Álvarez,Interpretacja i analiza tekstów literackich,ćw,Fil hisz,S
Wydział Humanistyczno-Społeczny,prof. UBB dr hab. Carlos Dimeo Álvarez,Teoria literatury,ćw,Fil hisz,S
Wydział Humanistyczno-Społeczny,mgr Sebastian Dunat,Praktyczna znajomość języka angielskiego - ekspresja pisemna,pnj,Fil ang,S
Wydział Humanistyczno-Społeczny,mgr Sebastian Dunat,Praktyczna znajomość języka angielskiego - ćwiczenia gramatyczne,pnj,Fil ang,S
Wydział Humanistyczno-Społeczny,mgr Arkadiusz Gardaś,Praktyczna znajomość języka angielskiego - przekład tekstów użytkowych,ćw,Fil ang,NZ
Wydział Humanistyczno-Społeczny,mgr Arkadiusz Gardaś,Praktyczna znajomość języka angielskiego - ekspresja pisemna,pnj,Fil ang,S
Wydział Humanistyczno-Społeczny,mgr Arkadiusz Gardaś,Praktyczna nauka języka angielskiego - komunikacja werbalna,pnj,Fil ang,S
Wydział Humanistyczno-Społeczny,mgr Arkadiusz Gardaś,Praktyczna nauka języka angielskiego - komunikacja werbalna,pnj,Fil ang,NZ
Wydział Humanistyczno-Społeczny,mgr Aleksandra Hasior,Praktyczna znajomość języka hiszpańskiego - tłumaczenie tekstów specjalistycznych,pnj,Fil hisz,NZ
Wydział Humanistyczno-Społeczny,mgr Aleksandra Hasior,Praktyczna znajomość języka hiszpańskiego - język specjalistyczny,pnj,Fil hisz,NZ
Wydział Humanistyczno-Społeczny,mgr Aleksandra Hasior,Praktyczna znajomość języka hiszpańskiego - tłumaczenie tekstów specjalistycznych,pnj,Fil hisz,S
Wydział Humanistyczno-Społeczny,prof. UBB dr hab. Aleksandra Banot,Literatura powszechna,wyk,Fil pol,S
Wydział Humanistyczno-Społeczny,prof. UBB dr hab. Aleksandra Banot,Literatura powszechna,ćw,Fil pol,S
Wydział Humanistyczno-Społeczny,prof. UBB dr hab. Aleksandra Banot,Indywidualizacja procesu nauczania,wyk,Fil pol,S
Wydział Humanistyczno-Społeczny,prof. UBB dr hab. Aleksandra Banot,Indywidualizacja procesu nauczania,ćw,Fil pol,S
Wydział Humanistyczno-Społeczny,dr Agnieszka Będkowska-Kopczyk,Kultura organizacyjna,konw,Zzl,S
Wydział Humanistyczno-Społeczny,dr Agnieszka Będkowska-Kopczyk,Ezpt,ćw,Fil ang,S
Wydział Humanistyczno-Społeczny,dr Agnieszka Będkowska-Kopczyk,Wstęp do językoznawstwa,wyk,Fil hisz,S
Wydział Humanistyczno-Społeczny,dr Agnieszka Będkowska-Kopczyk,Adiustacja i korekta tekstu<br><strong>Ezpt</strong> - Etyczne zagadnienia pracy tłumacza,ćw,Fil pol,S
Wydział Humanistyczno-Społeczny,mgr Anna Bergiel,Poetyka,ćw,Fil pol,S
Wydział Humanistyczno-Społeczny,mgr Anna Bergiel,Pisanie tekstów,ćw,Fil pol,S
Wydział Humanistyczno-Społeczny,prof. dr hab. Marek Bernacki,Sztuka redagowania i retoryki,wyk,Inf,S
Wydział Humanistyczno-Społeczny,prof. dr hab. Marek Bernacki,Oświecenie i romantyzm,wyk,Fil pol,S
Wydział Humanistyczno-Społeczny,prof. dr hab. Marek Bernacki,Wykład monograficzny polonistyczny I,wyk,Fil pol,S
Wydział Humanistyczno-Społeczny,prof. dr hab. Marek Bernacki,Sztuka przygotowania wystąpień i retoryka,wyk,ZiIP,S
Wydział Humanistyczno-Społeczny,prof. dr hab. Marek Bernacki,Sztuka redagowania i retoryki,wyk,Mt,S
Wydział Humanistyczno-Społeczny,mgr Paulina Czernek-Pasierbek,Literatura polska dwudziestolecia miedzywojennego,ćw,Fil pol,S
Wydział Humanistyczno-Społeczny,mgr Paulina Czernek-Pasierbek,Literatura polska dwudziestolecia miedzywojennego,wyk,Fil pol,S
Wydział Humanistyczno-Społeczny,dr Ewelina Gajewska,Lingwistyka tekstu,ćw,Fil pol,S
Wydział Humanistyczno-Społeczny,dr Ewelina Gajewska,Gram. hist.j.pol. z elem. jęz. s.c.s,ćw,Fil pol,S
Wydział Humanistyczno-Społeczny,dr Ewelina Gajewska,Gram. hist.j.pol. z elem. jęz. s.c.s,wyk,Fil pol,S
Wydział Humanistyczno-Społeczny,dr Ewelina Gajewska,Ortografia i ortofonia,ćw,Fil pol,S
Wydział Humanistyczno-Społeczny,dr Ewelina Gajewska,Kultura języka,ćw,Kom int,S
Wydział Humanistyczno-Społeczny,dr Ewelina Gajewska,Język mediów i polityki,ćw,Kom int,S
"Wydział Inżynierii Materiałów, Budownictwa i Środowiska",dr inż. Patrycja Antonik-Popiołek,Wytrzymałość materiałów 1,ćw,Bud,NZ
"Wydział Inżynierii Materiałów, Budownictwa i Środowiska",dr inż. Patrycja Antonik-Popiołek,Obliczenia inżynierskie,wyk,Bud,S
"Wydział Inżynierii Materiałów, Budownictwa i Środowiska",dr inż. Patrycja Antonik-Popiołek,Obliczenia inżynierskie,proj,Bud,NZ
"Wydział Inżynierii Materiałów, Budownictwa i Środowiska",dr inż. Patrycja Antonik-Popiołek,Wytrzymałość materiałów 1,ćw,Bud,S
"Wydział Inżynierii Materiałów, Budownictwa i Środowiska",dr inż. Patrycja Antonik-Popiołek,Obliczenia inżynierskie,proj,Bud,S
"Wydział Inżynierii Materiałów, Budownictwa i Środowiska",dr inż. Patrycja Antonik-Popiołek,Obliczenia inżynierskie,wyk,Bud,NZ
"Wydział Inżynierii Materiałów, Budownictwa i Środowiska",dr inż. Marcin Bączek,Wybrane zagadnienia z fizyki,wyk,EP,NW
"Wydział Inżynierii Materiałów, Budownictwa i Środowiska",dr inż. Marcin Bączek,Wybrane zagadnienia z fizyki,wyk,EP,S
"Wydział Inżynierii Materiałów, Budownictwa i Środowiska",dr inż. Marcin Bączek,Wybrane zagadnienia z fizyki,ćw,EP,S
"Wydział Inżynierii Materiałów, Budownictwa i Środowiska",dr inż. Marcin Bączek,Fizyka I,ćw,ZiIP,S
"Wydział Inżynierii Materiałów, Budownictwa i Środowiska",dr inż. Marcin Bączek,Fizyka I,wyk,ZiIP,S
"Wydział Inżynierii Materiałów, Budownictwa i Środowiska",dr inż. Marcin Bączek,Fizyka I,wyk,ZiIP,NZ
"Wydział Inżynierii Materiałów, Budownictwa i Środowiska",dr inż. Marcin Bączek,Fizyka I,ćw,ZiIP,NZ
"Wydział Inżynierii Materiałów, Budownictwa i Środowiska",dr inż. Monika Basiura-Cembala,Fizyka 2,lab,Bud,S
"Wydział Inżynierii Materiałów, Budownictwa i Środowiska",dr inż. Monika Basiura-Cembala,Podstawy fizyki miękkiej materii,wyk,Inż mat,S
"Wydział Inżynierii Materiałów, Budownictwa i Środowiska",dr inż. Monika Basiura-Cembala,Rentgenografia,wyk,Inż mat,S
"Wydział Inżynierii Materiałów, Budownictwa i Środowiska",dr inż. Monika Basiura-Cembala,Rentgenografia,ćw,Inż mat,S
"Wydział Inżynierii Materiałów, Budownictwa i Środowiska",dr inż. Monika Basiura-Cembala,Podstawy fizyki miękkiej materii,proj,Inż mat,S
"Wydział Inżynierii Materiałów, Budownictwa i Środowiska",dr inż. Monika Basiura-Cembala,Podstawy fizyki miękkiej materii,lab,Inż mat,S
"Wydział Inżynierii Materiałów, Budownictwa i Środowiska",dr inż. Monika Basiura-Cembala,Rentgenografia,lab,Inż mat,S
"Wydział Inżynierii Materiałów, Budownictwa i Środowiska",dr inż. Dorota Biniaś,Gospodarka odpadami,wyk,Inż śr,S
"Wydział Inżynierii Materiałów, Budownictwa i Środowiska",dr inż. Dorota Biniaś,Badania jakościowe wody użytkowej,lab,Inż mat,S
"Wydział Inżynierii Materiałów, Budownictwa i Środowiska",dr inż. Dorota Biniaś,Badania jakościowe wody użytkowej,wyk,Inż mat,S
"Wydział Inżynierii Materiałów, Budownictwa i Środowiska",prof. UBB dr hab. inż. Włodzimierz Biniaś,Wybrane zagadnienia z fizyki,lab,EP,S
"Wydział Inżynierii Materiałów, Budownictwa i Środowiska",prof. UBB dr hab. inż. Włodzimierz Biniaś,Wybrane zagadnienia z fizyki,lab,EP,NW
"Wydział Inżynierii Materiałów, Budownictwa i Środowiska",prof. UBB dr hab. inż. Włodzimierz Biniaś,Fizyka,lab,Inż śr,NZ
"Wydział Inżynierii Materiałów, Budownictwa i Środowiska",prof. UBB dr hab. inż. Włodzimierz Biniaś,Spektroskopowe metody badań materiałów,lab,Inż mat,S
"Wydział Inżynierii Materiałów, Budownictwa i Środowiska",prof. UBB dr hab. inż. Włodzimierz Biniaś,Spektroskopowe metody badań materiałów,wyk,Inż mat,S
"Wydział Inżynierii Materiałów, Budownictwa i Środowiska",prof. UBB dr hab. inż. Włodzimierz Biniaś,Projektowanie materiałów elastycznych,wyk,Inż mat,S
"Wydział Inżynierii Materiałów, Budownictwa i Środowiska",prof. UBB dr hab. inż. Wacław Brachaczek,Prowadzenie firmy budowlanej,wyk,Bud,NZ
"Wydział Inżynierii Materiałów, Budownictwa i Środowiska",prof. UBB dr hab. inż. Wacław Brachaczek,Instalacje budowlane,proj,Bud,S
"Wydział Inżynierii Materiałów, Budownictwa i Środowiska",prof. UBB dr hab. inż. Wacław Brachaczek,Instalacje budowlane,wyk,Bud,S
"Wydział Inżynierii Materiałów, Budownictwa i Środowiska",prof. UBB dr hab. inż. Wacław Brachaczek,Materiały budowlane 2,wyk,Bud,NZ
"Wydział Inżynierii Materiałów, Budownictwa i Środowiska",prof. UBB dr hab. inż. Wacław Brachaczek,Technologia betonu,wyk,Bud,S
"Wydział Inżynierii Materiałów, Budownictwa i Środowiska",prof. UBB dr hab. inż. Wacław Brachaczek,Remonty i eksploatacja konstrukcji budowlanych,wyk,Bud,NZ
"Wydział Inżynierii Materiałów, Budownictwa i Środowiska",prof. UBB dr hab. inż. Wacław Brachaczek,Materiały budowlane 1,wyk,Bud,S
"Wydział Inżynierii Materiałów, Budownictwa i Środowiska",prof. UBB dr hab. inż. Wacław Brachaczek,Remonty i eksploatacja konstrukcji budowlanych,lab,Bud,NZ
Wydział Zarządzania i Transportu,prof. UBB dr hab. Agnieszka Barcik,Prawo,wyk,Zarz,S
Wydział Zarządzania i Transportu,prof. UBB dr hab. Agnieszka Barcik,Zarządzanie społecznie odpowiedzialne,wyk,Zarz,S
Wydział Zarządzania i Transportu,prof. UBB dr hab. Agnieszka Barcik,Prawo handlowe,wyk,Zarz,S
Wydział Zarządzania i Transportu,prof. UBB dr hab. Agnieszka Barcik,Seminarium,sem,Zarz,S
Wydział Zarządzania i Transportu,prof. UBB dr hab. Agnieszka Barcik,Ochrona własności intelektualnej,wyk,Zarz,S
Wydział Zarządzania i Transportu,prof. UBB dr hab. Agnieszka Barcik,Zarządzanie społecznie odpowiedzialne,ćw,Zarz,S
Wydział Zarządzania i Transportu,prof. UBB dr hab. Agnieszka Barcik,Prawo gospodarcze,wyk,Inf,S
Wydział Zarządzania i Transportu,prof. UBB dr hab. Agnieszka Barcik,Prawo gospodarcze,wyk,ZiIP,S
Wydział Zarządzania i Transportu,dr inż. Grzegorz Biesok,Statystyka opisowa,wyk,Zarz,S
Wydział Zarządzania i Transportu,dr inż. Grzegorz Biesok,Statystyka opisowa,ćw,Zarz,S
Wydział Zarządzania i Transportu,dr inż. Grzegorz Biesok,Zarządzanie jakością,wyk,Zarz,S
Wydział Zarządzania i Transportu,dr inż. Grzegorz Biesok,Zarządzanie jakością,wyk,Zarz,NZ
Wydział Zarządzania i Transportu,dr inż. Grzegorz Biesok,Statystyka opisowa,wyk,Zarz,NZ
Wydział Zarządzania i Transportu,dr inż. Leszek Bylinko,Nowoczesne koncepcje logistyczne,konw,Zarz,S
Wydział Zarządzania i Transportu,dr inż. Leszek Bylinko,Logistyka dystrybucji,wyk,Zarz,S
Wydział Zarządzania i Transportu,dr inż. Leszek Bylinko,Zarządzanie logistyczne,wyk,Zarz,S
Wydział Zarządzania i Transportu,dr inż. Leszek Bylinko,Informatyka w zarządzaniu,wyk,Zarz,S
Wydział Zarządzania i Transportu,dr inż. Leszek Bylinko,Menedżer logistyki miejskiej,wyk,Zarz,S
Wydział Zarządzania i Transportu,dr inż. Leszek Bylinko,Systemy transportu zbiorowego,lab,Trans,S
Wydział Zarządzania i Transportu,dr inż. Leszek Bylinko,Zarządzanie mobilnością,wyk,Trans,S
Wydział Zarządzania i Transportu,dr inż. Leszek Bylinko,Systemy transportu zbiorowego,wyk,Trans,S
Wydział Zarządzania i Transportu,dr inż. Leszek Bylinko,Zarządzanie mobilnością,proj,Trans,S
Wydział Zarządzania i Transportu,dr inż. Leszek Bylinko,Logistyka dystrybucji,wyk,Zarz,NZ
Wydział Zarządzania i Transportu,dr inż. Leszek Bylinko,Zarządzanie łańcuchem dostaw,wyk,Zarz,NZ
Wydział Zarządzania i Transportu,dr inż. Leszek Bylinko,Informatyka w zarządzaniu,wyk,Zarz,NZ
Wydział Zarządzania i Transportu,dr inż. Leszek Bylinko,Informatyka w zarządzaniu,lab,Zarz,S
Wydział Zarządzania i Transportu,dr Piotr Dziwiński,Zarządzanie projektami,ćw,Zarz,S
Wydział Zarządzania i Transportu,dr Piotr Dziwiński,Projekty unijne,wyk,Zarz,S
Wydział Zarządzania i Transportu,dr Piotr Dziwiński,Zarządzanie projektami,wyk,Zarz,S
Wydział Zarządzania i Transportu,dr Piotr Dziwiński,Projekty unijne,ćw,Zarz,S
Wydział Zarządzania i Transportu,dr Piotr Dziwiński,Prawo autorskie,wyk,Trans,S
Wydział Zarządzania i Transportu,dr Piotr Dziwiński,Ochrona własności intelektualnej,wyk,Trans,S
Wydział Zarządzania i Transportu,dr Piotr Dziwiński,Zarządzanie społecznie odpowiedzialne,wyk,Zarz,NZ
Wydział Zarządzania i Transportu,dr Piotr Dziwiński,Projekty unijne,ćw,Zarz,NZ
Wydział Zarządzania i Transportu,dr Piotr Dziwiński,Projekty unijne,wyk,Zarz,NZ
Wydział Zarządzania i Transportu,dr Piotr Dziwiński,Ochrona własności intelektualnej,wyk,Zarz,NZ
Wydział Zarządzania i Transportu,dr Piotr Dziwiński,Prawo cywilne,wyk,Zarz,NZ
Wydział Zarządzania i Transportu,dr Piotr Dziwiński,Prawo,wyk,Zarz,NZ
Wydział Zarządzania i Transportu,dr Piotr Dziwiński,Prawo,ćw,Zarz,NZ
Wydział Zarządzania i Transportu,dr Piotr Dziwiński,Podstawy prawne w transporcie,wyk,Trans,NZ
Wydział Zarządzania i Transportu,dr Piotr Dziwiński,Ochrona własności intelektualnej,wyk,Trans,NZ
Wydział Zarządzania i Transportu,dr Piotr Dziwiński,Podstawy prawne w transporcie,ćw,Trans,NZ
Wydział Zarządzania i Transportu,dr inż. Paulina Gajewska,Zarządzanie jakością usług,wyk,Zarz,S
Wydział Zarządzania i Transportu,dr inż. Paulina Gajewska,Zarządzanie jakością usług,ćw,Zarz,S
Wydział Zarządzania i Transportu,dr inż. Paulina Gajewska,Kreowanie przestrzeni zawodowej,konw,Zarz,S
Wydział Zarządzania i Transportu,dr inż. Paulina Gajewska,Zarządzanie jakością,ćw,Inż mat,S
Wydział Zarządzania i Transportu,dr inż. Paulina Gajewska,Zarządzanie jakością usług,ćw,Zarz,NZ
Wydział Zarządzania i Transportu,dr inż. Paulina Gajewska,Zarządzanie jakością usług,wyk,Zarz,NZ
Wydział Zarządzania i Transportu,prof. UBB dr hab. Marcin Jakubiec,Podstawy logistyki,wyk,Zarz,S
Wydział Zarządzania i Transportu,prof. UBB dr hab. Marcin Jakubiec,Podstawy jakości,wyk,Zarz,S
Wydział Zarządzania i Transportu,prof. UBB dr hab. Marcin Jakubiec,Podstawy logistyki,proj,Zarz,S
Wydział Zarządzania i Transportu,prof. UBB dr hab. Marcin Jakubiec,Zarządzanie produktem,wyk,Zarz,S
Wydział Zarządzania i Transportu,prof. UBB dr hab. Marcin Jakubiec,Statystyka opisowa,ćw,Zarz,S
Wydział Zarządzania i Transportu,prof. UBB dr hab. Marcin Jakubiec,Seminarium,sem,Zarz,S
Wydział Zarządzania i Transportu,prof. UBB dr hab. Marcin Jakubiec,Zarządzanie kryzysowe,wyk,Zarz,S
Wydział Zarządzania i Transportu,prof. UBB dr hab. Marcin Jakubiec,Zarządzanie jakością,ćw,Zarz,S
Wydział Zarządzania i Transportu,prof. UBB dr hab. Marcin Jakubiec,Branżowe systemy zarządzania,wyk,Zarz,S
Wydział Zarządzania i Transportu,prof. UBB dr hab. Marcin Jakubiec,Projektowanie systemów zarządzania jakością,wyk,Zarz,S
Wydział Zarządzania i Transportu,prof. UBB dr hab. Marcin Jakubiec,Ocena systemów zarządzania,wyk,Zarz,S
Wydział Zarządzania i Transportu,prof. UBB dr hab. Marcin Jakubiec,Podstawy jakości,proj,Zarz,S
Wydział Zarządzania i Transportu,prof. UBB dr hab. Marcin Jakubiec,Zarządzanie jakością,wyk,Inż mat,S
Wydział Zarządzania i Transportu,prof. UBB dr hab. Marcin Jakubiec,Zarządzanie projektami,proj,Zarz,NZ
Wydział Zarządzania i Transportu,prof. UBB dr hab. Marcin Jakubiec,Statystyka opisowa,ćw,Zarz,NZ
Wydział Zarządzania i Transportu,prof. UBB dr hab. Marcin Jakubiec,Zarządzanie projektami,wyk,Zarz,NZ
Wydział Zarządzania i Transportu,prof. UBB dr hab. Marcin Jakubiec,Seminarium,sem,Zarz,NZ
Wydział Zarządzania i Transportu,prof. UBB dr hab. Marcin Jakubiec,Zarządzanie kryzysowe,wyk,Zarz,NZ
Wydział Zarządzania i Transportu,prof. UBB dr hab. Marcin Jakubiec,Projektowanie systemów zarządzania jakością,wyk,Zarz,NZ
Wydział Zarządzania i Transportu,prof. UBB dr hab. Marcin Jakubiec,Zarządzanie projektami,wyk,Zarz,S
Wydział Zarządzania i Transportu,prof. UBB dr hab. Marcin Jakubiec,Ocena systemów zarządzania,wyk,Zarz,NZ
Wydział Zarządzania i Transportu,dr inż. Dariusz Owsiak,Zarządzanie zapasami,wyk,Zarz,S
Wydział Zarządzania i Transportu,dr inż. Dariusz Owsiak,Zarządzanie zapasami,ćw,Zarz,S
Wydział Zarządzania i Transportu,dr inż. Dariusz Owsiak,Informatyka w zarządzaniu,lab,Zarz,S
Wydział Zarządzania i Transportu,dr inż. Dariusz Owsiak,Logistyka dystrybucji,ćw,Zarz,S
Wydział Zarządzania i Transportu,dr inż. Dariusz Owsiak,Nowoczesne koncepcje logistyczne,konw,Zarz,NZ
Wydział Zarządzania i Transportu,dr inż. Dariusz Owsiak,Logistyka dystrybucji,ćw,Zarz,NZ
Wydział Zarządzania i Transportu,dr inż. Dariusz Owsiak,Zarządzanie łańcuchem dostaw,ćw,Zarz,NZ
Wydział Zarządzania i Transportu,dr inż. Dariusz Owsiak,Zarządzanie zapasami,ćw,Zarz,NZ
Wydział Zarządzania i Transportu,dr inż. Dariusz Owsiak,Zarządzanie zapasami,wyk,Zarz,NZ
Wydział Zarządzania i Transportu,mgr inż. Barbara Słowiak,Informatyka w zarządzaniu,lab,Zarz,S
Wydział Zarządzania i Transportu,mgr inż. Barbara Słowiak,Projektowanie systemów zarządzania jakością,proj,Zarz,NZ
Wydział Zarządzania i Transportu,mgr inż. Barbara Słowiak,Zarządzanie projektami,ćw,Zarz,NZ
Wydział Zarządzania i Transportu,mgr inż. Barbara Słowiak,Zarządzanie jakością,ćw,Zarz,NZ
Wydział Zarządzania i Transportu,mgr inż. Barbara Słowiak,Ocena systemów zarządzania,ćw,Zarz,NZ
Wydział Zarządzania i Transportu,mgr inż. Barbara Słowiak,Informatyka w zarządzaniu,lab,Zarz,NZ
Wydział Zarządzania i Transportu,mgr inż. Barbara Słowiak,Ocena systemów zarządzania,ćw,Zarz,S
Wydział Zarządzania i Transportu,mgr inż. Barbara Słowiak,Projektowanie systemów zarządzania jakością,proj,Zarz,S
Wydział Zarządzania i Transportu,mgr inż. Barbara Słowiak,Zarządzanie jakością,ćw,Zarz,S
Wydział Zarządzania i Transportu,mgr inż. Barbara Słowiak,Branżowe systemy zarządzania,ćw,Zarz,S
Wydział Zarządzania i Transportu,mgr inż. Barbara Słowiak,Total quality management (w jęz.ang.),konw,Zarz,S
Wydział Zarządzania i Transportu,dr inż. Jolanta Wyród-Wróbel,Zarządzanie projektami,ćw,Zarz,S
Wydział Zarządzania i Transportu,dr inż. Jolanta Wyród-Wróbel,Zarządzanie projektami,proj,Zarz,S
Wydział Zarządzania i Transportu,dr inż. Jolanta Wyród-Wróbel,Zarządzanie logistyczne,ćw,Zarz,S
Wydział Zarządzania i Transportu,dr Tomasz Żyminkowski,Techniki operacyjne,ćw,Zarz,S
Wydział Zarządzania i Transportu,dr Tomasz Żyminkowski,Controlling,konw,Zarz,S
Wydział Zarządzania i Transportu,dr Tomasz Żyminkowski,Marketing,ćw,Zarz,S
Wydział Zarządzania i Transportu,dr Tomasz Żyminkowski,Techniki operacyjne,wyk,Zarz,S
Wydział Zarządzania i Transportu,dr Tomasz Żyminkowski,Podstawy prowadzenia działalności gospodarczej / Podstawy przedsiębiorczości,wyk,Tur,S
Wydział Zarządzania i Transportu,dr Tomasz Żyminkowski,Podstawy prowadzenia działalności gospodarczej / Podstawy przedsiębiorczości,ćw,Tur,S
Wydział Zarządzania i Transportu,dr Tomasz Żyminkowski,Marketing internetowy,ćw,Zarz,NZ
Wydział Zarządzania i Transportu,dr Tomasz Żyminkowski,Negocjacje i techniki sprzedaży,wyk,Zarz,NZ
Wydział Zarządzania i Transportu,dr Tomasz Żyminkowski,Negocjacje i techniki sprzedaży,ćw,Zarz,NZ
Wydział Zarządzania i Transportu,dr Tomasz Żyminkowski,Techniki operacyjne,ćw,Zarz,NZ
Wydział Zarządzania i Transportu,dr Tomasz Żyminkowski,Marketing internetowy,wyk,Zarz,NZ
Wydział Zarządzania i Transportu,dr Tomasz Żyminkowski,Techniki operacyjne,wyk,Zarz,NZ
Wydział Zarządzania i Transportu,dr Aneta Bąk-Szołucha,Podstawy public relations,wyk,Analit,S
Wydział Zarządzania i Transportu,dr Aneta Bąk-Szołucha,Podstawy socjologii,ćw,Analit,S
Wydział Zarządzania i Transportu,dr Aneta Bąk-Szołucha,Komunikacja wewnętrzna / Komunikacja w biznesie,proj,Analit,S
Wydział Zarządzania i Transportu,dr Aneta Bąk-Szołucha,Podstawy public relations,proj,Analit,S
Wydział Zarządzania i Transportu,dr Aneta Bąk-Szołucha,Socjologia reklamy / Psychologia reklamy,wyk,Analit,S
Wydział Zarządzania i Transportu,dr Aneta Bąk-Szołucha,Globalne procesy społeczne / Zjawiska globalne: teorie i interpretacje globalizacyjne,konw,Analit,S
Wydział Zarządzania i Transportu,dr Aneta Bąk-Szołucha,Zarządzanie zasobami ludzkimi,wr,Soc,S
Wydział Zarządzania i Transportu,dr Aneta Bąk-Szołucha,Podstawy public relations,wyk,Soc,S
Wydział Zarządzania i Transportu,dr Aneta Bąk-Szołucha,Zarządzanie zasobami ludzkimi,wyk,Soc,S
Wydział Zarządzania i Transportu,dr Aneta Bąk-Szołucha,Podstawy public relations,proj,Soc,S
Wydział Zarządzania i Transportu,dr Aneta Bąk-Szołucha,Społeczeństwo informacyjne,ćw,Soc,S
Wydział Zarządzania i Transportu,dr Aneta Bąk-Szołucha,Globalne procesy społeczne / Zjawiska globalne: teorie i interpretacje,konw,Soc,S
Wydział Zarządzania i Transportu,dr Aneta Bąk-Szołucha,Konwersatorium,konw,Soc,S
Wydział Zarządzania i Transportu,dr Aneta Bąk-Szołucha,Seminarium licencjackie,sem,Soc,S
Wydział Zarządzania i Transportu,dr Aneta Bąk-Szołucha,Socjologia reklamy / Psychologia reklamy,wyk,Analit,NZ
Wydział Zarządzania i Transportu,dr Aneta Bąk-Szołucha,Globalne procesy społeczne / Zjawiska globalne: teorie i interpretacje globalizacyjne,konw,Analit,NZ
Wydział Zarządzania i Transportu,dr Aneta Bąk-Szołucha,Socjologia reklamy / Psychologia reklamy,proj,Analit,S
Wydział Zarządzania i Transportu,dr Aneta Bąk-Szołucha,Socjologia reklamy / Psychologia reklamy,proj,Analit,NZ
Wydział Zarządzania i Transportu,dr inż. Beata Bieńkowska,Polityka edukacyjna i rynek pracy,wyk,Zzl,S
Wydział Zarządzania i Transportu,dr inż. Beata Bieńkowska,Diversity management (w jęz. ang.),proj,Zzl,S
Wydział Zarządzania i Transportu,dr inż. Beata Bieńkowska,Diversity management (w jęz. ang.),wyk,Zzl,S
Wydział Zarządzania i Transportu,dr inż. Beata Bieńkowska,Small business (w jęz.ang.),wyk,Zarz,S
Wydział Zarządzania i Transportu,dr inż. Beata Bieńkowska,Zarządzanie oświatą,ćw,Zarz,S
Wydział Zarządzania i Transportu,dr inż. Beata Bieńkowska,Zarządzanie oświatą,wyk,Zarz,S
Wydział Zarządzania i Transportu,dr inż. Beata Bieńkowska,Small business (w jęz.ang.),ćw,Zarz,S
Wydział Zarządzania i Transportu,dr inż. Beata Bieńkowska,Business Development Support Policy (w jęz.ang.),proj,Zarz,S
Wydział Zarządzania i Transportu,dr inż. Beata Bieńkowska,Podstawy ekonomii,wyk,Trans,S
Wydział Zarządzania i Transportu,dr inż. Beata Bieńkowska,Mikroekonomia,wyk,ZiIP,S
Wydział Zarządzania i Transportu,dr inż. Beata Bieńkowska,Podstawy ekonomii,wyk,Trans,NZ
Wydział Zarządzania i Transportu,dr inż. Beata Bieńkowska,Polityka edukacyjna i rynek pracy,proj,Zzl,S
Wydział Zarządzania i Transportu,dr inż. Beata Bieńkowska,Mikroekonomia,wyk,ZiIP,NZ
Wydział Zarządzania i Transportu,dr Agnieszka Czerwińska-Lubszczyk,Przedsiębiorczość i innowacje,wr,Zzl,S
Wydział Zarządzania i Transportu,dr Agnieszka Czerwińska-Lubszczyk,Kadry i płace,wyk,Zarz,S
Wydział Zarządzania i Transportu,dr Agnieszka Czerwińska-Lubszczyk,Kadry i płace,ćw,Zarz,S
Wydział Zarządzania i Transportu,dr Agnieszka Czerwińska-Lubszczyk,Instytucje w UE,wyk,Zarz,S
Wydział Zarządzania i Transportu,dr Agnieszka Czerwińska-Lubszczyk,Przedsiębiorczość i innowacje,wyk,Analit,S
Wydział Zarządzania i Transportu,dr Agnieszka Czerwińska-Lubszczyk,Makroekonomia,wyk,Analit,S
Wydział Zarządzania i Transportu,dr Agnieszka Czerwińska-Lubszczyk,Makroekonomia,ćw,Analit,S
Wydział Zarządzania i Transportu,dr Agnieszka Czerwińska-Lubszczyk,Makroekonomia,wyk,Analit,NZ
Wydział Zarządzania i Transportu,dr Agnieszka Czerwińska-Lubszczyk,Przedsiębiorczość i innowacje,wyk,Analit,NZ
Wydział Zarządzania i Transportu,dr Agnieszka Czerwińska-Lubszczyk,Makroekonomia,ćw,Analit,NZ
Wydział Zarządzania i Transportu,dr Dominika Dusza,Finanse zielonej transformacji,ćw,Zarz,S
Wydział Zarządzania i Transportu,dr Dominika Dusza,Finanse przedsiębiorstw,wyk,Zarz,S
Wydział Zarządzania i Transportu,dr Dominika Dusza,Wprowadzenie do finansów międzynarodowych,ćw,Zarz,S
Wydział Zarządzania i Transportu,dr Dominika Dusza,Wprowadzenie do finansów międzynarodowych,wyk,Zarz,S
Wydział Zarządzania i Transportu,dr Dominika Dusza,Finanse zielonej transformacji,wyk,Zarz,S
Wydział Zarządzania i Transportu,dr Dominika Dusza,Analiza rynków finansowych,proj,Analit,S
Wydział Zarządzania i Transportu,dr Dominika Dusza,Analiza rynków finansowych,wyk,Analit,S
